CustomerID,Lookalikes
C0001,"[('C0039', 1.0000000000000002), ('C0048', 1.0000000000000002), ('C0096', 1.0000000000000002)]"
C0002,"[('C0056', 1.0000000000000002), ('C0088', 1.0000000000000002), ('C0092', 1.0000000000000002)]"
C0003,"[('C0025', 1.0000000000000002), ('C0052', 1.0000000000000002), ('C0158', 1.0000000000000002)]"
C0004,"[('C0082', 1.0000000000000002), ('C0087', 1.0000000000000002), ('C0147', 1.0000000000000002)]"
C0005,"[('C0115', 1.0000000000000002), ('C0140', 1.0000000000000002), ('C0146', 1.0000000000000002)]"
C0006,"[('C0011', 1.0000000000000002), ('C0118', 1.0000000000000002), ('C0126', 1.0000000000000002)]"
C0007,"[('C0005', 0.6666666666666669), ('C0026', 0.6666666666666669), ('C0028', 0.6666666666666669)]"
C0008,"[('C0059', 1.0000000000000002), ('C0065', 1.0000000000000002), ('C0012', 0.6666666666666669)]"
C0009,"[('C0010', 1.0000000000000002), ('C0061', 1.0000000000000002), ('C0111', 1.0000000000000002)]"
C0010,"[('C0009', 1.0000000000000002), ('C0061', 1.0000000000000002), ('C0111', 1.0000000000000002)]"
C0011,"[('C0006', 1.0000000000000002), ('C0118', 1.0000000000000002), ('C0126', 1.0000000000000002)]"
C0012,"[('C0104', 1.0000000000000002), ('C0113', 1.0000000000000002), ('C0003', 0.6666666666666669)]"
C0013,"[('C0099', 1.0000000000000002), ('C0004', 0.6666666666666669), ('C0012', 0.6666666666666669)]"
C0014,"[('C0037', 0.6666666666666669), ('C0060', 0.6666666666666669), ('C0073', 0.6666666666666669)]"
C0015,"[('C0036', 1.0000000000000002), ('C0094', 1.0000000000000002), ('C0131', 1.0000000000000002)]"
C0016,"[('C0034', 1.0000000000000002), ('C0049', 1.0000000000000002), ('C0067', 1.0000000000000002)]"
C0017,"[('C0041', 1.0000000000000002), ('C0075', 1.0000000000000002), ('C0004', 0.6666666666666669)]"
C0018,"[('C0117', 1.0000000000000002), ('C0125', 1.0000000000000002), ('C0185', 1.0000000000000002)]"
C0019,"[('C0044', 1.0000000000000002), ('C0063', 1.0000000000000002), ('C0121', 1.0000000000000002)]"
C0020,"[('C0026', 0.6666666666666669), ('C0033', 0.6666666666666669), ('C0035', 0.6666666666666669)]"
