CustomerID,Lookalikes
C0001,"[('C0184', 0.9938610436936237), ('C0192', 0.9934393752755775), ('C0112', 0.9916946401858224)]"
C0002,"[('C0134', 0.9888261684811294), ('C0106', 0.9833592814226355), ('C0088', 0.9655161696089085)]"
C0003,"[('C0052', 0.9939611009462402), ('C0031', 0.9908255763005178), ('C0195', 0.9886543308435077)]"
C0004,"[('C0169', 0.9917355195559103), ('C0165', 0.9912167312514345), ('C0153', 0.9845877188957266)]"
C0005,"[('C0007', 0.9950379241347769), ('C0140', 0.9686000490392939), ('C0186', 0.9661774387702733)]"
C0006,"[('C0126', 0.9887368103028111), ('C0187', 0.9855851454276356), ('C0137', 0.981922652332327)]"
C0007,"[('C0005', 0.9950379241347769), ('C0140', 0.9745027898934838), ('C0186', 0.9627901500725933)]"
C0008,"[('C0189', 0.9807242348140186), ('C0065', 0.969508619802338), ('C0059', 0.9661859480394055)]"
C0009,"[('C0061', 0.9747244536021684), ('C0062', 0.9725116293948483), ('C0103', 0.967162218234313)]"
C0010,"[('C0062', 0.9921708629227519), ('C0103', 0.9711641258968848), ('C0198', 0.9694450561987045)]"
C0011,"[('C0174', 0.9917340102495151), ('C0171', 0.9901288558542642), ('C0153', 0.9889458700549778)]"
C0012,"[('C0195', 0.9965632741927459), ('C0003', 0.9803907318215226), ('C0163', 0.9753314051368493)]"
C0013,"[('C0099', 0.9739718320815647), ('C0129', 0.9696825335209736), ('C0107', 0.9567763317827688)]"
C0014,"[('C0172', 0.9747451302541912), ('C0164', 0.9336162744399348), ('C0124', 0.9023045753639107)]"
C0015,"[('C0125', 0.9599056328458322), ('C0036', 0.959783136215902), ('C0185', 0.9527016359155159)]"
C0016,"[('C0183', 0.9933446573652678), ('C0067', 0.9837024105307421), ('C0042', 0.9834513557444903)]"
C0017,"[('C0041', 0.9889456878495335), ('C0075', 0.9874942388741492), ('C0081', 0.985905332447484)]"
C0018,"[('C0046', 0.9935052552984242), ('C0117', 0.9871093416577748), ('C0194', 0.9710539213224939)]"
C0019,"[('C0132', 0.9858614819444991), ('C0073', 0.982691362778427), ('C0135', 0.9732714921736856)]"
C0020,"[('C0050', 0.9845430550012935), ('C0026', 0.9755999243192177), ('C0035', 0.9716096850621518)]"
